#
#<?php die('Forbidden.'); ?>
#Date: 2019-02-19 04:37:22 UTC
#Software: Joomla Platform 13.1.0 Stable [ Curiosity ] 24-Apr-2013 00:00 GMT

#Fields: datetime	priority clientip	category	message
2019-02-19T04:37:22+00:00	WARNING 10.0.0.47	jerror	Empty password not allowed.
2019-02-19T04:37:26+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T04:37:30+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T04:37:38+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T04:37:44+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T04:37:54+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T05:43:17+00:00	WARNING ::1	jerror	JFolder: :delete: Path is not a folder. Path: E:\xampp728\htdocs\Joomla\templates\seattle\v14\beta2\administrator\components\com_nextend_installer\libraries
2019-02-19T05:43:17+00:00	WARNING ::1	jerror	JFolder: :delete: Path is not a folder. Path: E:\xampp728\htdocs\Joomla\templates\seattle\v14\beta2\administrator\components\com_nextend_installer\media\n2\n
2019-02-19T05:43:17+00:00	WARNING ::1	jerror	JFolder: :delete: Path is not a folder. Path: E:\xampp728\htdocs\Joomla\templates\seattle\v14\beta2\administrator\components\com_nextend_installer\media\n2\ss3
2019-02-19T07:51:20+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T07:51:24+00:00	WARNING 10.0.0.47	jerror	Username and password do not match or you do not have an account yet.
2019-02-19T09:50:16+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 167
2019-02-19T09:50:49+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 167
2019-02-19T09:53:16+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 167
2019-02-19T09:53:28+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:15+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:26+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:37+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:48+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:49+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:49+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:51+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:52+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:53+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:53+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:54:54+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T09:55:34+00:00	WARNING ::1	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:05:47+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:05:53+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:06:17+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:06:20+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:06:39+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:06:46+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:07:01+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:07:13+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:07:50+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:07:59+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:08:30+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:09:32+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:09:42+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:10:13+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:10:33+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:10:39+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:11:55+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:12:32+00:00	WARNING 10.0.0.47	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:12:48+00:00	WARNING 10.0.0.12	jerror	JUser: :_load: Unable to load user with ID: 592
2019-02-19T10:13:01+00:00	WARNING 10.0.0.12	jerror	JUser: :_load: Unable to load user with ID: 592
